Jakarta,-6.1944,106.8229
Malang,-7.9666,112.6326
Yogyakarta,-7.8014,110.3648
Klaten,-7.7400,110.6646
Bandar Lampung,-5.4479,105.2653
Padang,-0.9480,100.3631
Palembang,-2.9761,104.7754
Pontianak,-0.0263,109.3425
